shape_id,baseline,candidate,boundary,baseline_status,candidate_status,ratio,ci95,classification
gc_3aeb2889e7a3ff86,k1,k2,t_api_us,PASS,PASS,0.995942682780667,"[0.9908185890675417, 1.0157841710511588]",TIE
gc_3aeb2889e7a3ff86,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.9843485621414619,"[0.9828626179155825, 0.9990638301808515]",TIE
gc_3aeb2889e7a3ff86,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.4875393248454126,"[0.4825406493351839, 0.4974804253193441]",LOSS
gc_3afce2b434a92a43,k0,k1,t_device_op_graph_us,PASS,PASS,2.2408853947539904,"[2.19934694515109, 2.2852062943939897]",WIN
gc_3afce2b434a92a43,k0,k1,t_api_us,PASS,PASS,1.0930485839296646,"[1.0889855843414513, 1.0988009951425066]",WIN
gc_3afce2b434a92a43,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3afce2b434a92a43,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3afce2b434a92a43,k0,k3,t_device_op_graph_us,PASS,PASS,2.0146891983550055,"[1.9672817174300203, 2.025996241051406]",WIN
gc_3afce2b434a92a43,k0,k3,t_api_us,PASS,PASS,1.0901096638476142,"[1.083942485983885, 1.0946830184715763]",WIN
gc_3afce2b434a92a43,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3afce2b434a92a43,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3afce2b434a92a43,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.711123610956532,"[1.6968581726618766, 1.715092681648022]",WIN
gc_3afce2b434a92a43,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.7839816994228292,"[0.7634587159654049, 0.7986576752508121]",LOSS
gc_3e559a8fe1fbe169,k0,k1,t_device_op_graph_us,PASS,PASS,2.7057494809165106,"[2.5458180488890427, 2.713628564064385]",WIN
gc_3e559a8fe1fbe169,k0,k1,t_api_us,PASS,PASS,1.597573576788684,"[1.5864116286647894, 1.700599445443162]",WIN
gc_3e559a8fe1fbe169,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3e559a8fe1fbe169,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3e559a8fe1fbe169,k0,k3,t_device_op_graph_us,PASS,PASS,2.263211728487911,"[2.2491240812333437, 2.272445106822301]",WIN
gc_3e559a8fe1fbe169,k0,k3,t_api_us,PASS,PASS,1.5925351846075506,"[1.5790498516705676, 1.7020156893790048]",WIN
gc_3e559a8fe1fbe169,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3e559a8fe1fbe169,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_3e559a8fe1fbe169,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.8901292803495902,"[1.87780776611821, 1.903489645847868]",WIN
gc_3e559a8fe1fbe169,torch_cuda_tuned,k3,t_api_us,PASS,PASS,1.2644672121313913,"[1.2534798269933722, 1.3592954372274613]",WIN
gc_4bc024996397efd1,k0,k1,t_device_op_graph_us,PASS,PASS,3.100542472027338,"[3.0084632507291422, 3.1048326791028336]",WIN
gc_4bc024996397efd1,k0,k1,t_api_us,PASS,PASS,2.8082042485117773,"[2.794144574660395, 2.818984386679803]",WIN
gc_4bc024996397efd1,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_4bc024996397efd1,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_4bc024996397efd1,k0,k3,t_device_op_graph_us,PASS,PASS,2.43720157845751,"[2.366518562006374, 2.4419896879169327]",WIN
gc_4bc024996397efd1,k0,k3,t_api_us,PASS,PASS,2.561590856521732,"[2.483349838546448, 2.564319422103313]",WIN
gc_4bc024996397efd1,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_4bc024996397efd1,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_4bc024996397efd1,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.0371961188381646,"[1.032087314088019, 1.0445073994172773]",TIE
gc_4bc024996397efd1,torch_cuda_tuned,k3,t_api_us,PASS,PASS,1.4502653212330632,"[1.44554080037951, 1.4997572388286338]",WIN
gc_2f9366efc6d12fd6,k0,k1,t_device_op_graph_us,PASS,PASS,3.278027914457758,"[3.275624237748205, 3.2831647134418254]",WIN
gc_2f9366efc6d12fd6,k0,k1,t_api_us,PASS,PASS,3.3779170840053627,"[3.374428694037963, 3.381626220588833]",WIN
gc_2f9366efc6d12fd6,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_2f9366efc6d12fd6,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_2f9366efc6d12fd6,k0,k3,t_device_op_graph_us,PASS,PASS,2.446999236054838,"[2.4458256957644444, 2.4499526911805365]",WIN
gc_2f9366efc6d12fd6,k0,k3,t_api_us,PASS,PASS,2.516386586070519,"[2.5150651066845233, 2.5183159168441263]",WIN
gc_2f9366efc6d12fd6,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_2f9366efc6d12fd6,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_2f9366efc6d12fd6,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.5279542520915183,"[0.526893702872049, 0.5297718506843386]",LOSS
gc_2f9366efc6d12fd6,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.705538440350767,"[0.7021860802632492, 0.7285329788603574]",LOSS
gc_dabb582ec8f0952e,k0,k1,t_device_op_graph_us,PASS,PASS,3.3158569057316045,"[3.3139827577437013, 3.3172724688763684]",WIN
gc_dabb582ec8f0952e,k0,k1,t_api_us,PASS,PASS,3.3581826083204547,"[3.356404706626866, 3.3602194167524067]",WIN
gc_dabb582ec8f0952e,k0,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_dabb582ec8f0952e,k0,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_dabb582ec8f0952e,k0,k3,t_device_op_graph_us,PASS,PASS,2.408289163173761,"[2.404223043460515, 2.4084578004202415]",WIN
gc_dabb582ec8f0952e,k0,k3,t_api_us,PASS,PASS,2.4204721235890463,"[2.417370693183651, 2.4221941736678585]",WIN
gc_dabb582ec8f0952e,k1,k2,t_device_op_graph_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_dabb582ec8f0952e,k1,k2,t_api_us,PASS,UNSUPPORTED,,,NOT_COMPARABLE
gc_dabb582ec8f0952e,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,0.3316212162147701,"[0.33141422237576923, 0.3324959601466348]",LOSS
gc_dabb582ec8f0952e,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.33067666040421684,"[0.330252982932771, 0.3308499352879372]",LOSS
gc_12a6be6336199cc1,k0,k1,t_device_op_graph_us,PASS,PASS,1.3223890849150493,"[1.262181267993304, 1.3285754123843383]",WIN
gc_12a6be6336199cc1,k0,k1,t_api_us,PASS,PASS,1.048061584544951,"[1.0433602881049338, 1.05610882823201]",UNCERTAIN
gc_12a6be6336199cc1,k0,k2,t_device_op_graph_us,PASS,PASS,1.4370303041510484,"[1.431941937523178, 1.4443885130163774]",WIN
gc_12a6be6336199cc1,k0,k2,t_api_us,PASS,PASS,1.0481789985788825,"[1.046441135381942, 1.054093011880168]",UNCERTAIN
gc_12a6be6336199cc1,k0,k3,t_device_op_graph_us,PASS,PASS,1.8175708318217412,"[1.7190532648140069, 1.8270937943419037]",WIN
gc_12a6be6336199cc1,k0,k3,t_api_us,PASS,PASS,1.0549660273034407,"[1.0521067241897555, 1.0607317567553447]",WIN
gc_12a6be6336199cc1,k1,k2,t_device_op_graph_us,PASS,PASS,1.0866925026406762,"[1.0825771567994147, 1.1377582297637392]",WIN
gc_12a6be6336199cc1,k1,k2,t_api_us,PASS,PASS,1.0001120297086192,"[0.9949415810124299, 1.0057844142460848]",TIE
gc_12a6be6336199cc1,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.0529347847250332,"[0.9966354412056537, 1.0635545630460324]",UNCERTAIN
gc_12a6be6336199cc1,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.3937318270305865,"[0.3919685375440514, 0.39721485520580796]",LOSS
gc_ccafda2438d25cd0,k0,k1,t_device_op_graph_us,PASS,PASS,1.6832253682276772,"[1.6803348074729143, 1.802811241912632]",WIN
gc_ccafda2438d25cd0,k0,k1,t_api_us,PASS,PASS,1.0747330001127275,"[1.06520563077021, 1.0836152613256456]",WIN
gc_ccafda2438d25cd0,k0,k2,t_device_op_graph_us,PASS,PASS,1.6935379245023896,"[1.691606412534342, 1.7118540868923169]",WIN
gc_ccafda2438d25cd0,k0,k2,t_api_us,PASS,PASS,1.0793647698273794,"[1.0696686686374108, 1.0850348082857686]",WIN
gc_ccafda2438d25cd0,k0,k3,t_device_op_graph_us,PASS,PASS,2.2258009940952883,"[2.2065187599559355, 2.3825538743962174]",WIN
gc_ccafda2438d25cd0,k0,k3,t_api_us,PASS,PASS,1.0915801821002202,"[1.0825407443731088, 1.0947896802343076]",WIN
gc_ccafda2438d25cd0,k1,k2,t_device_op_graph_us,PASS,PASS,1.00612666400434,"[0.9500548248582105, 1.0093820738059731]",UNCERTAIN
gc_ccafda2438d25cd0,k1,k2,t_api_us,PASS,PASS,1.0043096933974913,"[0.9968616989594004, 1.0072519195398941]",TIE
gc_ccafda2438d25cd0,torch_cuda_tuned,k3,t_device_op_graph_us,PASS,PASS,1.0917104565479099,"[1.0717844123662417, 1.150770123449105]",WIN
gc_ccafda2438d25cd0,torch_cuda_tuned,k3,t_api_us,PASS,PASS,0.5216289754578198,"[0.511716255878432, 0.5246326824664695]",LOSS
gc_e6299d9827421cfd,k0,k1,t_device_op_graph_us,PASS,PASS,2.228634656799089,"[2.2202931846779834, 2.3530122297055756]",WIN
gc_e6299d9827421cfd,k0,k1,t_api_us,PASS,PASS,1.33225208752243,"[1.323397810824377, 1.4051117846244428]",WIN
gc_e6299d9827421cfd,k0,k2,t_device_op_graph_us,PASS,PASS,1.9929564787942515,"[1.9870093365641959, 1.9967480602915912]",WIN
gc_e6299d9827421cfd,k0,k2,t_api_us,PASS,PASS,1.336361556556273,"[1.3285167757041019, 1.4035813863257514]",WIN
